[i] Train : 3002
[i] Valid : 333
[i] Test : 210
[i] restored imagenet parameters (VGG16)
[i] iter : 100, loss : 3.0121, class_loss = 2.5879, l2_reg_loss : 0.4243, time : 164sec
[i] iter : 200, loss : 2.6164, class_loss = 2.2976, l2_reg_loss : 0.3188, time : 160sec
[i] iter : 300, loss : 2.3904, class_loss = 2.1068, l2_reg_loss : 0.2836, time : 162sec
[i] iter : 400, loss : 2.2072, class_loss = 1.9564, l2_reg_loss : 0.2507, time : 160sec
[i] iter : 500, loss : 2.0330, class_loss = 1.8118, l2_reg_loss : 0.2212, time : 162sec
[i] iter : 600, loss : 1.9044, class_loss = 1.7033, l2_reg_loss : 0.2011, time : 161sec
[i] iter : 700, loss : 1.7928, class_loss = 1.6080, l2_reg_loss : 0.1848, time : 162sec
[i] iter : 800, loss : 1.6850, class_loss = 1.5144, l2_reg_loss : 0.1706, time : 161sec
[i] iter : 900, loss : 1.6029, class_loss = 1.4430, l2_reg_loss : 0.1599, time : 161sec
[i] iter : 1000, loss : 1.5166, class_loss = 1.3656, l2_reg_loss : 0.1511, time : 161sec
[i] valid meanIU : 2.13%, best valid meanIU : 2.13%
[i] iter : 1100, loss : 1.4435, class_loss = 1.2988, l2_reg_loss : 0.1447, time : 183sec
[i] iter : 1200, loss : 1.3831, class_loss = 1.2419, l2_reg_loss : 0.1411, time : 162sec
[i] iter : 1300, loss : 1.3298, class_loss = 1.1910, l2_reg_loss : 0.1389, time : 162sec
[i] iter : 1400, loss : 1.2870, class_loss = 1.1529, l2_reg_loss : 0.1341, time : 162sec
[i] iter : 1500, loss : 1.2586, class_loss = 1.1246, l2_reg_loss : 0.1340, time : 162sec
[i] iter : 1600, loss : 1.2077, class_loss = 1.0757, l2_reg_loss : 0.1319, time : 160sec
[i] iter : 1700, loss : 1.1831, class_loss = 1.0525, l2_reg_loss : 0.1306, time : 160sec
[i] iter : 1800, loss : 1.1544, class_loss = 1.0239, l2_reg_loss : 0.1305, time : 160sec
[i] iter : 1900, loss : 1.1253, class_loss = 0.9948, l2_reg_loss : 0.1304, time : 160sec
[i] iter : 2000, loss : 1.1033, class_loss = 0.9730, l2_reg_loss : 0.1303, time : 161sec
[i] valid meanIU : 3.62%, best valid meanIU : 3.62%
[i] iter : 2100, loss : 1.0724, class_loss = 0.9423, l2_reg_loss : 0.1301, time : 179sec
[i] iter : 2200, loss : 1.0505, class_loss = 0.9205, l2_reg_loss : 0.1300, time : 161sec
[i] iter : 2300, loss : 1.0648, class_loss = 0.9347, l2_reg_loss : 0.1301, time : 161sec
[i] iter : 2400, loss : 1.0422, class_loss = 0.9118, l2_reg_loss : 0.1304, time : 162sec
[i] iter : 2500, loss : 1.0244, class_loss = 0.8933, l2_reg_loss : 0.1312, time : 161sec
[i] iter : 2600, loss : 1.0196, class_loss = 0.8883, l2_reg_loss : 0.1313, time : 162sec
[i] iter : 2700, loss : 0.9837, class_loss = 0.8506, l2_reg_loss : 0.1330, time : 160sec
[i] iter : 2800, loss : 0.9792, class_loss = 0.8452, l2_reg_loss : 0.1340, time : 160sec
[i] iter : 2900, loss : 0.9743, class_loss = 0.8384, l2_reg_loss : 0.1359, time : 161sec
[i] iter : 3000, loss : 0.9539, class_loss = 0.8159, l2_reg_loss : 0.1380, time : 161sec
[i] valid meanIU : 3.65%, best valid meanIU : 3.65%
[i] iter : 3100, loss : 0.9754, class_loss = 0.8352, l2_reg_loss : 0.1402, time : 182sec
[i] iter : 3200, loss : 0.9470, class_loss = 0.8025, l2_reg_loss : 0.1444, time : 160sec
[i] iter : 3300, loss : 0.9398, class_loss = 0.7935, l2_reg_loss : 0.1463, time : 161sec
[i] iter : 3400, loss : 0.9206, class_loss = 0.7729, l2_reg_loss : 0.1477, time : 161sec
[i] iter : 3500, loss : 0.9074, class_loss = 0.7582, l2_reg_loss : 0.1492, time : 159sec
[i] iter : 3600, loss : 0.8939, class_loss = 0.7422, l2_reg_loss : 0.1516, time : 158sec
[i] iter : 3700, loss : 0.9008, class_loss = 0.7475, l2_reg_loss : 0.1533, time : 160sec
[i] iter : 3800, loss : 0.9069, class_loss = 0.7497, l2_reg_loss : 0.1571, time : 161sec
[i] iter : 3900, loss : 0.8986, class_loss = 0.7393, l2_reg_loss : 0.1593, time : 161sec
[i] iter : 4000, loss : 0.8801, class_loss = 0.7189, l2_reg_loss : 0.1613, time : 159sec
[i] valid meanIU : 3.97%, best valid meanIU : 3.97%
[i] iter : 4100, loss : 0.8901, class_loss = 0.7280, l2_reg_loss : 0.1621, time : 179sec
[i] iter : 4200, loss : 0.8800, class_loss = 0.7145, l2_reg_loss : 0.1655, time : 160sec
[i] iter : 4300, loss : 0.8938, class_loss = 0.7262, l2_reg_loss : 0.1676, time : 161sec
[i] iter : 4400, loss : 0.8784, class_loss = 0.7081, l2_reg_loss : 0.1703, time : 159sec
[i] iter : 4500, loss : 0.8661, class_loss = 0.6918, l2_reg_loss : 0.1743, time : 161sec
[i] iter : 4600, loss : 0.8772, class_loss = 0.6995, l2_reg_loss : 0.1777, time : 161sec
[i] iter : 4700, loss : 0.8539, class_loss = 0.6751, l2_reg_loss : 0.1788, time : 160sec
[i] iter : 4800, loss : 0.8488, class_loss = 0.6685, l2_reg_loss : 0.1802, time : 160sec
